"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18083800198624369,17841401475580469,nicki.entenmann,"Nicki Entenmann","free Shimmering Dry Oil with Vitamin C + 5 Organic Botanical Oils with their purchase of $40+
 @typologyparis #typologyparis #typologypartner",55,"04/07/2025 10:32",,"IG story",,Lifetime,14823,13988,104,2,2,273,14825,18,,4
18117891925455912,17841401475580469,nicki.entenmann,"Nicki Entenmann","@typologyparis #typologyparis #typologypartner  My favorite lips last month!!!",41,"04/07/2025 10:30",,"IG story",,Lifetime,15032,14215,92,3,2,135,14718,13,,2
17856616902352714,17841401475580469,nicki.entenmann,"Nicki Entenmann","Look how stunning this glow is
This is what I’ve been wearing to the gym !  @typologyparis #typologypartner #typologyparis",46,"04/07/2025 10:28",,"IG story",,Lifetime,15597,14779,117,1,2,244,15203,35,,4
18156327064318503,17841401475580469,nicki.entenmann,"Nicki Entenmann","@typologyparis #typologypartner #typologyparis  Letting my skin breath but still have 
coverage has helped my acne so much!",52,"04/07/2025 10:26",,"IG story",,Lifetime,16246,15160,141,4,9,254,16341,111,,9
18326014474166430,17841401475580469,nicki.entenmann,"Nicki Entenmann","✨ giving one of you a Tineco this week ✨  Favorite home purchase in 2024-tineco vacuum and mop in one! 

Nothing says 
adulting like being excited about cleaning!  Comment “mop” here and like all this weeks reels. That’s it 🫶🏻

Love ya!",0,"04/07/2025 10:08",,"IG story",,Lifetime,17686,16431,284,9,1172,,17671,512,1,
18076234048697440,17841401475580469,nicki.entenmann,"Nicki Entenmann",,9,"04/06/2025 17:30",https://instagram.com/stories/nicki.entenmann/3605136741243161756,"IG story",,Lifetime,11884,11540,7,0,1,143,10717,16,,
17846975787446220,17841401475580469,nicki.entenmann,"Nicki Entenmann",,19,"04/06/2025 17:29",,"IG story",,Lifetime,11310,11125,18,0,0,189,11322,,,
18029380697365254,17841401475580469,nicki.entenmann,"Nicki Entenmann",,12,"04/06/2025 16:39",https://instagram.com/stories/nicki.entenmann/3605111496457229931,"IG story",,Lifetime,13359,12888,156,5,12,76,13177,13,,
18321699226167168,17841401475580469,nicki.entenmann,"Nicki Entenmann","Currently:
Strength train 3x a week
Hyrox/running 2x a week 
Rest 2x a week",27,"04/06/2025 16:39",,"IG story",,Lifetime,12621,12469,37,0,3,,14054,3,1,
18064231133054646,17841401475580469,nicki.entenmann,"Nicki Entenmann","I don’t think so! 

I don’t have any 
hernias or a 
bad enough DR 
to do a tummy tuck
and currently 
don’t want to
be down and recovering
for the vanity of it. 

I’m not against them at all. And I’m  about making a decision best for you and your body but I’m 
honestly not that
 concerned about it. 

no one sees my stomach, I’m grateful for my body and will do what  I can for the skin but not gonna dwell on it",11,"04/06/2025 16:38",https://instagram.com/stories/nicki.entenmann/3605110559533691349,"IG story",,Lifetime,16615,15290,61,0,10,,13232,7,,
17846126700448869,17841401475580469,nicki.entenmann,"Nicki Entenmann","Also love this hydrating oil. My skin looks like glass when I wake up!  @colleenrothschild #crpartner  My acne reduced to half when I started using these-
(They’re massive so cut in half for them to last twice as long)  NICKI20 for 20% off sitewide",0,"04/06/2025 16:26",https://instagram.com/stories/nicki.entenmann/3605104687910604563,"IG story",,Lifetime,14981,14169,23,0,1,139,14719,3,,
18062914240987032,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s. So. Hard. 

If it was easy-everyone would have their dream body. But everything in life worth having doesn’t come easy. 

My mindset is also to do the hard thing as committed as you can for one entire year-you may not hit your goal in that year, but you’re cementing the habits of the person you want to become……

or you can “start fresh Monday” and lose and gain the same 15 lbs you have for the last 2 decades and obsessed over what your body looks like for the rest of your life. 

That’s not living. 

As you hit milestones-the food noise subsides, the workouts become craved, the sleep is desired. 

The freedom you want is on the other side of doing the work",17,"04/06/2025 15:51",https://instagram.com/stories/nicki.entenmann/3605087146022738761,"IG story",,Lifetime,15497,14676,67,2,10,,15402,15,,
17962866626913929,17841401475580469,nicki.entenmann,"Nicki Entenmann","Same girl, same. I take one every single day without question  This is for new and returning customers!",0,"04/06/2025 15:38",https://instagram.com/stories/nicki.entenmann/3605080771569842277,"IG story",,Lifetime,15851,14834,25,1,3,217,16696,11,,
17933852574009229,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m doing a 5 day trial on April 14th if you wanna join here!",0,"04/06/2025 15:35",https://instagram.com/stories/nicki.entenmann/3605079908390300816,"IG story",,Lifetime,16180,15083,39,1,3,301,16194,8,,
18069033880902710,17841401475580469,nicki.entenmann,"Nicki Entenmann","I think there are a 
million ways to 
answer this, but the first thing I thought of is -
You are who you surround yourself with. 

I tell this to my kids all the time but it applies when you’re an adult too. 

If you hang with 4 people who gossip, are negative, don’t take accountability, you’ll be the 5th

If you hang with 4 people who communicate, are successsful, happy, inspire, celebrate when you win, talk about goals and not people-you’ll be the 5th",0,"04/06/2025 15:34",https://instagram.com/stories/nicki.entenmann/3605079605637152506,"IG story",,Lifetime,16269,15468,73,1,6,,15912,3,,
